Code,Indicator Name,Long definition,Source
SH.STA.WAST.ZS,"Prevalence of wasting, weight for height (% of children under 5)",Wasting prevalence is the proportion of children under five whose weight for height is more than two standard deviations below the median for the international reference population ages 0-59.,"World Health Organization, Global Database on Child Growth and Malnutrition. Country-level data are unadjusted data from national surveys, and thus may not be comparable across countries. Adjusted, comparable data are available at http://www.who.int/nutgrowthdb/en. Aggregation is based on UNICEF, WHO, and the World Bank harmonized dataset (adjusted, comparable data) and methodology."
SH.STA.WAST.FE.ZS,"Prevalence of wasting, weight for height, female (% of children under 5)",Wasting prevalence is the proportion of children under five whose weight for height is more than two standard deviations below the median for the international reference population ages 0-59.,"World Health Organization, Global Database on Child Growth and Malnutrition. Country-level data are unadjusted data from national surveys, and thus may not be comparable across countries."
SH.STA.WAST.MA.ZS,"Prevalence of wasting, weight for height, male (% of children under 5)",Wasting prevalence is the proportion of children under five whose weight for height is more than two standard deviations below the median for the international reference population ages 0-59.,"World Health Organization, Global Database on Child Growth and Malnutrition. Country-level data are unadjusted data from national surveys, and thus may not be comparable across countries."
SE.PRM.CMPT.FE.ZS,"Primary completion rate, female (% of relevant age group)","Primary completion rate, or gross intake ratio to the last grade of primary education, is the number of new entrants (enrollments minus repeaters) in the last grade of primary education, regardless of age, divided by the population at the entrance age for the last grade of primary education. Data limitations preclude adjusting for students who drop out during the final year of primary education.","United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics."
SE.PRM.CMPT.MA.ZS,"Primary completion rate, male (% of relevant age group)","Primary completion rate, or gross intake ratio to the last grade of primary education, is the number of new entrants (enrollments minus repeaters) in the last grade of primary education, regardless of age, divided by the population at the entrance age for the last grade of primary education. Data limitations preclude adjusting for students who drop out during the final year of primary education.","United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics."
SE.PRM.ENRL.FE.ZS,"Primary education, pupils (% female)",Female pupils as a percentage of total pupils at primary level include enrollments in public and private schools.,"United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics."
SE.PRM.TCHR.FE.ZS,"Primary education, teachers (% female)",Female teachers as a percentage of total primary education teachers includes full-time and part-time teachers.,"United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics."
SE.SEC.PROG.FE.ZS,"Progression to secondary school, female (%)",Progression to secondary school refers to the number of new entrants to the first grade of secondary school in a given year as a percentage of the number of students enrolled in the final grade of primary school in the previous year (minus the number of repeaters from the last grade of primary education in the given year).,"United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics."
SE.SEC.PROG.MA.ZS,"Progression to secondary school, male (%)",Progression to secondary school refers to the number of new entrants to the first grade of secondary school in a given year as a percentage of the number of students enrolled in the final grade of primary school in the previous year (minus the number of repeaters from the last grade of primary education in the given year).,"United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics."
SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),Women in parliaments are the percentage of parliamentary seats in a single or lower chamber held by women.,Inter-Parliamentary Union (IPU) (www.ipu.org).
SG.GEN.MNST.ZS,Proportion of women in ministerial level positions (%),Women in ministerial level positions is the proportion of women in ministerial or equivalent positions (including deputy prime ministers) in the government. Prime Ministers/Heads of Government are included when they hold ministerial portfolios. Vice-Presidents and heads of governmental or public agencies are excluded.,Inter-Parliamentary Union (IPU). Women in Politics.
SE.XPD.TOTL.GD.ZS,"Government expenditure on education, total (% of GDP)","General government expenditure on education (current, capital, and transfers) is expressed as a percentage of GDP. It includes expenditure funded by transfers from international sources to government. General government usually refers to local, regional and central governments.","United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics."
SL.TLF.CACT.FM.ZS,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),Labor force participation rate is the proportion of the population ages 15 and older that is economically active: all people who supply labor for the production of goods and services during a specified period.,"International Labour Organization, Key Indicators of the Labour Market database."
SL.TLF.CACT.FM.NE.ZS,Ratio of female to male labor force participation rate (%) (national estimate),Labor force participation rate is the proportion of the population ages 15 and older that is economically active: all people who supply labor for the production of goods and services during a specified period.,"International Labour Organization, Key Indicators of the Labour Market database."
SL.UEM.1524.FM.ZS,Ratio of female to male youth unemployment rate (% ages 15-24) (modeled ILO estimate),Ratio of female to male youth unemployment is the percentage of female to male youth unemployment rates.,"International Labour Organization, Key Indicators of the Labour Market database."
SL.UEM.1524.FM.NE.ZS,Ratio of female to male youth unemployment rate (% ages 15-24) (national estimate),Ratio of female to male youth unemployment is the percentage of female to male youth unemployment rates.,"International Labour Organization, Key Indicators of the Labour Market database."
WP14934.3,"Received domestic remittances in the past year, female (% age 15+) [w2]","Denotes the percentage of respondents who report personally receiving any money in the past 12 months from a relative or friend living in a different area of their country. This includes any money received in person (female, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14934.2,"Received domestic remittances in the past year, male (% age 15+) [w2]","Denotes the percentage of respondents who report personally receiving any money in the past 12 months from a relative or friend living in a different area of their country. This includes any money received in person (male, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP15177.3,"Received government transfers in the past year, female (% age 15+) [w2]","Denotes the percentage of respondents who report personally receiving any financial support from the government in the past 12 months. This includes payments for educational or medical expenses, unemployment benefits, subsidy payments, or any kind of social benefits. It does not include wages or any payments related to work (female, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP15177.2,"Received government transfers in the past year, male (% age 15+) [w2]","Denotes the percentage of respondents who report personally receiving any financial support from the government in the past 12 months. This includes payments for educational or medical expenses, unemployment benefits, subsidy payments, or any kind of social benefits. It does not include wages or any payments related to work (male, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP15184.3,"Received payments for agricultural products in the past year, female (% age 15+) [w2]","Denotes the percentage of respondents who report personally receiving money from any source for the sale of agricultural products, crops, produce, or livestock (self- or family-owned) in the past 12 months (female, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP15184.2,"Received payments for agricultural products in the past year, male (% age 15+) [w2]","Denotes the percentage of respondents who report personally receiving money from any source for the sale of agricultural products, crops, produce, or livestock (self- or family-owned) in the past 12 months (male, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14944.3,"Received wages in the past year, female (% age 15+) [w2]","Denotes the percentage of respondents who report receiving any money from an employer in the past 12 months in the form of a salary or wages for doing work. This does not include any money received directly from clients or customers (female, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14944.2,"Received wages in the past year, male (% age 15+) [w2]","Denotes the percentage of respondents who report receiving any money from an employer in the past 12 months in the form of a salary or wages for doing work. This does not include any money received directly from clients or customers (male, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
SP.RUR.TOTL.FE.ZS,"Rural population, female (% of total)",Female rural population is the percentage of females who live in rural areas to total population.,The United Nations Population Division's World Urbanization Prospects.
SP.RUR.TOTL.MA.ZS,"Rural population, male (% of total)",Male rural population is the percentage males who live in rural areas to total population.,The United Nations Population Division's World Urbanization Prospects.
WP11645.3,"Saved any money in the past year, female (% age 15+) [w1]","Denotes the percentage of respondents who report saving or setting aside any money in the past 12 months (female, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP14914_6.3,"Saved any money in the past year, female (% age 15+) [w2]","Denotes the percentage of respondents who report personally saving or setting aside any money for any reason and using any mode of saving in the past 12 months (female, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP11645.2,"Saved any money in the past year, male (% age 15+) [w1]","Denotes the percentage of respondents who report saving or setting aside any money in the past 12 months (male, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP14914_6.2,"Saved any money in the past year, male (% age 15+) [w2]","Denotes the percentage of respondents who report personally saving or setting aside any money for any reason and using any mode of saving in the past 12 months (male, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP_time_04.3,"Saved at a financial institution, female (% age 15+) [ts]","Denotes the percentage of respondents who report saving or setting aside any money at a bank or another type of financial institution in the past 12 months (see year-specific definitions for details) (female, % age 15+). [ts: data are available for multiple waves].","Demirguc-Kunt et al., 2015"
WP_time_04.2,"Saved at a financial institution, male (% age 15+) [ts]","Denotes the percentage of respondents who report saving or setting aside any money at a bank or another type of financial institution in the past 12 months (see year-specific definitions for details) (male, % age 15+). [ts: data are available for multiple waves].","Demirguc-Kunt et al., 2015"
WP15164.3,"Saved for education or school fees, female (% age 15+) [w2]","Denotes the percentage of respondents who report saving or setting aside any money in the past 12 months for education or school fees (female, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP15164.2,"Saved for education or school fees, male (% age 15+) [w2]","Denotes the percentage of respondents who report saving or setting aside any money in the past 12 months for education or school fees (male, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP11647.3,"Saved for emergencies, female (% age 15+) [w1]","Denotes the percentage of respondents who report having saved for emergencies or a time when they expect to have less income in the past 12 months (female, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11647.2,"Saved for emergencies, male (% age 15+) [w1]","Denotes the percentage of respondents who report having saved for emergencies or a time when they expect to have less income in the past 12 months (male, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11646.3,"Saved for future expenses, female (% age 15+) [w1]","Denotes the percentage of respondents who report saving for expenses in the future such as education, a wedding, or a big purchase in the past 12 months (female, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11646.2,"Saved for future expenses, male (% age 15+) [w1]","Denotes the percentage of respondents who report saving for expenses in the future such as education, a wedding, or a big purchase in the past 12 months (male, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP14912.3,"Saved for old age, female (% age 15+) [w2]","Denotes the percentage of respondents who report saving or setting aside any money in the past 12 months for old age (female, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14912.2,"Saved for old age, male (% age 15+) [w2]","Denotes the percentage of respondents who report saving or setting aside any money in the past 12 months for old age (male, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14911.3,"Saved to start, operate, or expand a farm or business, female (% age 15+) [w2]","Denotes the percentage of respondents who report saving or setting aside any money in the past 12 months to start, operate, or expand a farm or business (female, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14911.2,"Saved to start, operate, or expand a farm or business, male (% age 15+) [w2]","Denotes the percentage of respondents who report saving or setting aside any money in the past 12 months to start, operate, or expand a farm or business (male, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP_time_05.3,"Saved using a savings club or a person outside the family, female (% age 15+) [ts]","Denotes the percentage of respondents who report saving or setting aside any money using a savings club or a person outside the family in the past 12 months (see year-specific definitions for details) (female, % age 15+). [ts: data are available for multiple waves].","Demirguc-Kunt et al., 2015"
WP_time_05.2,"Saved using a savings club or a person outside the family, male (% age 15+) [ts]","Denotes the percentage of respondents who report saving or setting aside any money using a savings club or a person outside the family in the past 12 months (see year-specific definitions for details) (male, % age 15+). [ts: data are available for multiple waves].","Demirguc-Kunt et al., 2015"
SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",Gender parity index for gross enrollment ratio in primary education is the ratio of girls to boys enrolled at primary level in public and private schools.,"United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics."
SE.ENR.PRSC.FM.ZS,"School enrollment, primary and secondary (gross), gender parity index (GPI)",Gender parity index for gross enrollment ratio in primary and secondary education is the ratio of girls to boys enrolled at primary and secondary levels in public and private schools.,"United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics."
SE.PRM.ENRR.FE,"School enrollment, primary, female (% gross)","Gross enrollment ratio is the ratio of total enrollment, regardless of age, to the population of the age group that officially corresponds to the level of education shown. Primary education provides children with basic reading, writing, and mathematics skills along with an elementary understanding of such subjects as history, geography, natural science, social science, art, and music.","United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics."
SE.PRM.NENR.FE,"School enrollment, primary, female (% net)","Net enrollment rate is the ratio of children of official school age who are enrolled in school to the population of the corresponding official school age. Primary education provides children with basic reading, writing, and mathematics skills along with an elementary understanding of such subjects as history, geography, natural science, social science, art, and music.","United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics."
SE.PRM.ENRR.MA,"School enrollment, primary, male (% gross)","Gross enrollment ratio is the ratio of total enrollment, regardless of age, to the population of the age group that officially corresponds to the level of education shown. Primary education provides children with basic reading, writing, and mathematics skills along with an elementary understanding of such subjects as history, geography, natural science, social science, art, and music.","United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics."
SE.PRM.NENR.MA,"School enrollment, primary, male (% net)","Net enrollment rate is the ratio of children of official school age who are enrolled in school to the population of the corresponding official school age. Primary education provides children with basic reading, writing, and mathematics skills along with an elementary understanding of such subjects as history, geography, natural science, social science, art, and music.","United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics."
SE.ENR.SECO.FM.ZS,"School enrollment, secondary (gross), gender parity index (GPI)",Gender parity index for gross enrollment ratio in secondary education is the ratio of girls to boys enrolled at secondary level in public and private schools.,"United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics."
SE.SEC.ENRR.FE,"School enrollment, secondary, female (% gross)","Gross enrollment ratio is the ratio of total enrollment, regardless of age, to the population of the age group that officially corresponds to the level of education shown. Secondary education completes the provision of basic education that began at the primary level, and aims at laying the foundations for lifelong learning and human development, by offering more subject- or skill-oriented instruction using more specialized teachers.","United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics."
SE.SEC.NENR.FE,"School enrollment, secondary, female (% net)","Net enrollment rate is the ratio of children of official school age who are enrolled in school to the population of the corresponding official school age. Secondary education completes the provision of basic education that began at the primary level, and aims at laying the foundations for lifelong learning and human development, by offering more subject- or skill-oriented instruction using more specialized teachers.","United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics."
SE.SEC.ENRR.MA,"School enrollment, secondary, male (% gross)","Gross enrollment ratio is the ratio of total enrollment, regardless of age, to the population of the age group that officially corresponds to the level of education shown. Secondary education completes the provision of basic education that began at the primary level, and aims at laying the foundations for lifelong learning and human development, by offering more subject- or skill-oriented instruction using more specialized teachers.","United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics."
SE.SEC.NENR.MA,"School enrollment, secondary, male (% net)","Net enrollment rate is the ratio of children of official school age who are enrolled in school to the population of the corresponding official school age. Secondary education completes the provision of basic education that began at the primary level, and aims at laying the foundations for lifelong learning and human development, by offering more subject- or skill-oriented instruction using more specialized teachers.","United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics."
SE.ENR.TERT.FM.ZS,"School enrollment, tertiary (gross), gender parity index (GPI)",Gender parity index for gross enrollment ratio in tertiary education is the ratio of women to men enrolled at tertiary level in public and private schools.,"United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics."
SE.TER.ENRR.FE,"School enrollment, tertiary, female (% gross)","Gross enrollment ratio is the ratio of total enrollment, regardless of age, to the population of the age group that officially corresponds to the level of education shown. Tertiary education, whether or not to an advanced research qualification, normally requires, as a minimum condition of admission, the successful completion of education at the secondary level.","United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics."
SE.TER.ENRR.MA,"School enrollment, tertiary, male (% gross)","Gross enrollment ratio is the ratio of total enrollment, regardless of age, to the population of the age group that officially corresponds to the level of education shown. Tertiary education, whether or not to an advanced research qualification, normally requires, as a minimum condition of admission, the successful completion of education at the secondary level.","United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics."
SE.SEC.ENRL.FE.ZS,"Secondary education, pupils (% female)",Female pupils as a percentage of total pupils at secondary level includes enrollments in public and private schools.,"United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics."
SE.SEC.TCHR.FE.ZS,"Secondary education, teachers (% female)",Female teachers as a percentage of total secondary education teachers includes full-time and part-time teachers.,"United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics."
SL.EMP.SELF.FE.ZS,"Self-employed, female (% of females employed)","Self-employed workers are those workers who, working on their own account or with one or a few partners or in cooperative, hold the type of jobs defined as a "self-employment jobs." i.e. jobs where the remuneration is directly dependent upon the profits derived from the goods and services produced. Self-employed workers include four sub-categories of employers, own-account workers, members of producers' cooperatives, and contributing family workers.","International Labour Organization, Key Indicators of the Labour Market database."
SL.EMP.SELF.MA.ZS,"Self-employed, male (% of males employed)","Self-employed workers are those workers who, working on their own account or with one or a few partners or in cooperative, hold the type of jobs defined as a "self-employment jobs." i.e. jobs where the remuneration is directly dependent upon the profits derived from the goods and services produced. Self-employed workers include four sub-categories of employers, own-account workers, members of producers' cooperatives, and contributing family workers.","International Labour Organization, Key Indicators of the Labour Market database."
WP14928.3,"Sent domestic remittances in the past year, female (% age 15+) [w2]","Denotes the percentage of respondents who report personally giving or sending any of their money in the past 12 months to a relative or friend living in a different area of their country. This can be money they brought themselves or sent in some other way (female, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14928.2,"Sent domestic remittances in the past year, male (% age 15+) [w2]","Denotes the percentage of respondents who report personally giving or sending any of their money in the past 12 months to a relative or friend living in a different area of their country. This can be money they brought themselves or sent in some other way (male, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
SP.POP.BRTH.MF,Sex ratio at birth (male births per female births),Sex ratio at birth refers to male births per female births. The data are 5 year averages.,"United Nations Population Division, World Population Prospects."
SL.EMP.INSV.FE.ZS,Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment),"Share of women in wage employment in the nonagricultural sector is the share of female workers in wage employment in the nonagricultural sector (industry and services), expressed as a percentage of total employment in the nonagricultural sector. Industry includes mining and quarrying (including oil production), manufacturing, construction, electricity, gas, and water, corresponding to divisions 2-5 (ISIC revision 2) or tabulation categories C-F (ISIC revision 3). Services include wholesale and retail trade and restaurants and hotels; transport, storage, and communications; financing, insurance, real estate, and business services; and community, social, and personal services-corresponding to divisions 6-9 (ISIC revision 2) or tabulation categories G-P (ISIC revision 3).","International Labour Organization, Key Indicators of the Labour Market database."
SH.PRV.SMOK.FE,"Smoking prevalence, females (% of adults)","Prevalence of smoking, female is the percentage of women ages 15 and over who smoke any form of tobacco, including cigarettes, cigars, pipes or any other smoked tobacco products. Data include daily and non-daily or occasional smoking.","World Health Organization, Global Health Observatory Data Repository (http://apps.who.int/ghodata/)."
SH.PRV.SMOK.MA,"Smoking prevalence, males (% of adults)","Prevalence of smoking, male is the percentage of men ages 15 and over who smoke any form of tobacco, including cigarettes, cigars, pipes or any other smoked tobacco products. Data include daily and non-daily or occasional smoking.","World Health Organization, Global Health Observatory Data Repository (http://apps.who.int/ghodata/)."
SG.VAW.MARR.ZS,Spousal physical or sexual violence in last 12 months (%),Spousal physical or sexual violence is the percentage of ever-married women aged 15-49 who have experienced physical or sexual violence in the last 12 months committed by their husband or partner.,Demographic and Health Surveys (DHS).
SE.TER.TCHR.FE.ZS,"Tertiary education, academic staff (% female)","Tertiary education, academic staff (% female) is the share of female academic staff in tertiary education.","United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics."
SL.EMP.UNDR.ZS,"Time-related underemployment, total (% of employment)","Time-related underemployment refers to all persons in employment who (i) wanted to work additional hours, (ii) had worked less than a specified hours threshold (working time in all jobs), and (iii) were available to work additional hours given an opportunity for more work.",ILO Key Indicators of the Labour Market (KILM).
SL.EMP.UNDR.FE.ZS,"Time-related underemployment, female (% of employment)","Time-related underemployment refers to all persons in employment who (i) wanted to work additional hours, (ii) had worked less than a specified hours threshold (working time in all jobs), and (iii) were available to work additional hours given an opportunity for more work.",ILO Key Indicators of the Labour Market (KILM).
SL.EMP.UNDR.MA.ZS,"Time-related underemployment, male (% of employment)","Time-related underemployment refers to all persons in employment who (i) wanted to work additional hours, (ii) had worked less than a specified hours threshold (working time in all jobs), and (iii) were available to work additional hours given an opportunity for more work.",ILO Key Indicators of the Labour Market (KILM).
SE.PRM.TENR.FE,"Adjusted net enrollment rate, primary, female (% of primary school age children)","Adjusted net enrollment is the number of pupils of the school-age group for primary education, enrolled either in primary or secondary education, expressed as a percentage of the total population in that age group.","United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics."
SE.PRM.TENR.MA,"Adjusted net enrollment rate, primary, male (% of primary school age children)","Adjusted net enrollment is the number of pupils of the school-age group for primary education, enrolled either in primary or secondary education, expressed as a percentage of the total population in that age group.","United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics."
SL.UEM.PRIM.FE.ZS,"Unemployment with primary education, female (% of female unemployment)",Female unemployment with primary education is the share of the female unemployed who attained or completed primary education as the highest level.,"International Labour Organization, Key Indicators of the Labour Market database."
SL.UEM.PRIM.MA.ZS,"Unemployment with primary education, male (% of male unemployment)",Male unemployment with primary education is the share of the male unemployed who attained or completed primary education as the highest level.,"International Labour Organization, Key Indicators of the Labour Market database."
SL.UEM.SECO.FE.ZS,"Unemployment with secondary education, female (% of female unemployment)",Female unemployment with secondary education is the share of the female unemployed who attained or completed secondary education as the highest level.,"International Labour Organization, Key Indicators of the Labour Market database."
SL.UEM.SECO.MA.ZS,"Unemployment with secondary education, male (% of male unemployment)",Male unemployment with secondary education is the share of the male unemployed who attained or completed secondary education as the highest level.,"International Labour Organization, Key Indicators of the Labour Market database."
SL.UEM.TERT.FE.ZS,"Unemployment with tertiary education, female (% of female unemployment)",Female unemployment with tertiary education is the share of the female unemployed who attained or completed tertiary education as the highest level.,"International Labour Organization, Key Indicators of the Labour Market database."
SL.UEM.TERT.MA.ZS,"Unemployment with tertiary education, male (% of male unemployment)",Male unemployment with tertiary education is the share of the male unemployed who attained or completed tertiary education as the highest level.,"International Labour Organization, Key Indicators of the Labour Market database."
SL.UEM.TOTL.FE.ZS,"Unemployment, female (% of female labor force) (modeled ILO estimate)",Unemployment refers to the share of the labor force that is without work but available for and seeking employment.,"International Labour Organization, Key Indicators of the Labour Market database."
SL.UEM.TOTL.FE.NE.ZS,"Unemployment, female (% of female labor force) (national estimate)",Unemployment refers to the share of the labor force that is without work but available for and seeking employment. Definitions of labor force and unemployment differ by country.,"International Labour Organization, Key Indicators of the Labour Market database."
SL.UEM.TOTL.MA.ZS,"Unemployment, male (% of male labor force) (modeled ILO estimate)",Unemployment refers to the share of the labor force that is without work but available for and seeking employment.,"International Labour Organization, Key Indicators of the Labour Market database."
SL.UEM.TOTL.MA.NE.ZS,"Unemployment, male (% of male labor force) (national estimate)",Unemployment refers to the share of the labor force that is without work but available for and seeking employment. Definitions of labor force and unemployment differ by country.,"International Labour Organization, Key Indicators of the Labour Market database."
SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Unemployment refers to the share of the labor force that is without work but available for and seeking employment.,"International Labour Organization, Key Indicators of the Labour Market database."
SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",Unemployment refers to the share of the labor force that is without work but available for and seeking employment. Definitions of labor force and unemployment differ by country.,"International Labour Organization, Key Indicators of the Labour Market database."
SL.UEM.1524.FE.ZS,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",Youth unemployment refers to the share of the labor force ages 15-24 without work but available for and seeking employment.,"International Labour Organization, Key Indicators of the Labour Market database."
SL.UEM.1524.FE.NE.ZS,"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)",Youth unemployment refers to the share of the labor force ages 15-24 without work but available for and seeking employment. Definitions of labor force and unemployment differ by country.,"International Labour Organization, Key Indicators of the Labour Market database."
SL.UEM.1524.MA.ZS,"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",Youth unemployment refers to the share of the labor force ages 15-24 without work but available for and seeking employment.,"International Labour Organization, Key Indicators of the Labour Market database."
SL.UEM.1524.MA.NE.ZS,"Unemployment, youth male (% of male labor force ages 15-24) (national estimate)",Youth unemployment refers to the share of the labor force ages 15-24 without work but available for and seeking employment. Definitions of labor force and unemployment differ by country.,"International Labour Organization, Key Indicators of the Labour Market database."
SL.UEM.1524.ZS,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",Youth unemployment refers to the share of the labor force ages 15-24 without work but available for and seeking employment.,"International Labour Organization, Key Indicators of the Labour Market database."
SL.UEM.1524.NE.ZS,"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",Youth unemployment refers to the share of the labor force ages 15-24 without work but available for and seeking employment. Definitions of labor force and unemployment differ by country.,"International Labour Organization, Key Indicators of the Labour Market database."
SP.UWT.TFRT,Unmet need for contraception (% of married women ages 15-49),"Unmet need for contraception is the percentage of fertile, married women of reproductive age who do not want to become pregnant and are not using contraception.","Household surveys, including Demographic and Health Surveys and Multiple Indicator Cluster Surveys. Largely compiled by United Nations Population Division."
SP.URB.TOTL.FE.ZS,"Urban population, female (% of total)",Female urban population is the percentage of females who live in urban areas to total population.,The United Nations Population Division's World Urbanization Prospects.
SP.URB.TOTL.MA.ZS,"Urban population, male (% of total)",Male urban population is the percentage of males who live in urban areas to total population.,The United Nations Population Division's World Urbanization Prospects.
WP15172_4.3,"Used a mobile phone to pay for school fees, female (% age 15+) [w2]","Denotes the percentage of respondents who report making a payment for school fees through a mobile phone in the past 12 months (female, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP15172_4.2,"Used a mobile phone to pay for school fees, male (% age 15+) [w2]","Denotes the percentage of respondents who report making a payment for school fees through a mobile phone in the past 12 months (male, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP11625.3,"Used an account at a financial institution for business purposes, female (% age 15+) [w1]","Denotes the percentage of respondents who report using their accounts at a formal financial institution for business purposes only or for both business purposes and personal transactions (female, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP11625.2,"Used an account at a financial institution for business purposes, male (% age 15+) [w1]","Denotes the percentage of respondents who report using their accounts at a formal financial institution for business purposes only or for both business purposes and personal transactions (male, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP15172_3.3,"Used an account at a financial institution to pay for school fees, female (% age 15+) [w2]","Denotes the percentage of respondents who report making a payment for school fees directly from an account at a bank or another type of financial institution in the past 12 months (female, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP15172_3.2,"Used an account at a financial institution to pay for school fees, male (% age 15+) [w2]","Denotes the percentage of respondents who report making a payment for school fees directly from an account at a bank or another type of financial institution in the past 12 months (male, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14940_3.3,"Used an account at a financial institution to pay utility bills, female (% age 15+) [w2]","Denotes the percentage of respondents who report making a payment in the past 12 months for water, electricity, or trash collection directly from an account at a bank or another type of financial institution (female, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14940_3.2,"Used an account at a financial institution to pay utility bills, male (% age 15+) [w2]","Denotes the percentage of respondents who report making a payment in the past 12 months for water, electricity, or trash collection directly from an account at a bank or another type of financial institution (male, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP11635.3,"Used an account at a financial institution to receive government transfers, female (% age 15+) [w1]","Denotes the percentage of respondents who report using their accounts at a formal financial institution to receive money or payments from the government in the past 12 months (female, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
